Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,39,2,13.4,2.3,3.9,.571,0.0,0.0,,2.3,3.9,.571,.571,1.1,2.2,.518,1.3,2.6,3.8,0.5,0.4,0.5,0.9,1.6,5.6
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,37,37,27.4,3.5,5.6,.627,0.0,0.1,.000,3.5,5.6,.633,.627,1.1,2.3,.459,4.0,5.1,9.1,2.0,0.9,0.5,1.5,1.9,8.1
4,Bam Adebayo\adebaba01,C,23,MIA,35,35,33.8,7.1,12.7,.556,0.1,0.2,.333,7.0,12.5,.559,.559,4.8,5.7,.843,2.3,7.2,9.5,5.5,0.9,1.0,2.9,2.5,18.9
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,.464,1.3,3.6,.360,4.2,8.2,.509,.518,1.5,1.8,.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,32,3,17.9,3.3,7.8,.416,1.2,3.6,.328,2.1,4.2,.493,.492,1.0,1.2,.816,0.2,2.4,2.6,1.9,0.9,0.3,1.3,1.6,8.7
8,Grayson Allen\allengr01,SG,25,MEM,25,13,24.0,3.0,7.4,.400,2.0,5.0,.400,1.0,2.4,.400,.535,1.6,1.8,.909,0.4,2.6,2.9,2.2,1.0,0.1,1.0,1.3,9.5
9,Jarrett Allen\allenja01,C,22,TOT,39,21,28.2,4.7,7.2,.648,0.1,0.3,.400,4.6,6.9,.657,.655,3.4,4.8,.710,3.1,6.7,9.8,1.7,0.4,1.7,1.4,1.6,12.8
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,27,16,28.8,5.1,8.0,.639,0.1,0.4,.400,5.0,7.6,.650,.648,3.2,4.6,.688,3.1,6.4,9.5,1.7,0.4,1.7,1.3,1.5,13.6
10,Al-Farouq Aminu\aminual01,PF,30,ORL,12,9,19.5,1.6,4.6,.345,0.5,1.7,.300,1.1,2.9,.371,.400,0.8,0.9,.818,1.1,3.3,4.4,1.4,1.0,0.4,1.3,1.3,4.4
11,Kyle Anderson\anderky01,PF,27,MEM,35,35,27.2,4.7,10.0,.476,1.4,3.9,.368,3.3,6.1,.545,.547,2.0,2.6,.761,0.8,5.0,5.9,3.3,1.1,0.6,1.3,1.7,12.9
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,39,39,34.2,10.6,18.8,.563,1.1,3.8,.295,9.5,15.0,.632,.593,6.8,10.1,.676,1.8,9.9,11.8,6.2,1.3,1.3,3.7,3.0,29.1
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,29,0,8.4,1.0,1.6,.596,0.1,0.3,.222,0.9,1.3,.684,.617,0.2,0.4,.462,0.9,1.0,2.0,0.6,0.3,0.2,0.7,1.2,2.2
